tsconfig tsconfig.json
Project has 261 files. Found 38 entrypoint files
export src/lspServerRunner.ts:200:0   'runLanguageServer'
export packages/lsp-client/src/client/context.ts:17:0    'createLSPClientContext'
export packages/lsp-client/src/client/lspOperations.ts:5:0     'LSPOperationOptions'
export packages/lsp-client/src/client/lspOperations.ts:103:0   'BatchLSPOperationOptions'
export packages/lsp-client/src/client/lspOperations.ts:144:0   'withBatchLSPOperation'
export packages/lsp-client/src/diagnostics/utils.ts:3:0     'DiagnosticWaitOptions'
export packages/lsp-client/src/utils/fileContext.ts:8:0     'FileContext'
export packages/lsp-client/src/utils/logger.ts:25:0    'createDebugLogger'
export packages/lsp-client/src/utils/logger.ts:51:0    'startSession'
export packages/lsp-client/src/utils/logger.ts:87:0    'endSession'
export packages/lsp-client/src/utils/logger.ts:110:0   'getSession'
export packages/lsp-client/src/utils/logger.ts:121:0   'log'
export packages/lsp-client/src/utils/logger.ts:164:0   'logLSPRequest'
export packages/lsp-client/src/utils/logger.ts:191:0   'logLSPResponse'
export packages/lsp-client/src/utils/logger.ts:234:0   'logValidationStep'
export packages/lsp-client/src/utils/logger.ts:249:0   'logHealthCheck'
export packages/lsp-client/src/utils/logger.ts:268:0   'exportSession'
export packages/lsp-client/src/utils/logger.ts:283:0   'exportSessionText'
export packages/lsp-client/src/utils/logger.ts:360:0   'setLogLevel'
export packages/lsp-client/src/utils/logger.ts:373:0   'clearSessions'
export packages/lsp-client/src/utils/logger.ts:436:0   'debugLogger'
export packages/lsp-client/src/utils/logger.ts:445:0   'defaultStartSession'
export packages/lsp-client/src/utils/logger.ts:447:0   'defaultEndSession'
export packages/lsp-client/src/utils/logger.ts:449:0   'defaultGetSession'
export packages/lsp-client/src/utils/logger.ts:458:0   'defaultLogLSPRequest'
export packages/lsp-client/src/utils/logger.ts:463:0   'defaultLogLSPResponse'
export packages/lsp-client/src/utils/logger.ts:471:0   'defaultLogValidationStep'
export packages/lsp-client/src/utils/logger.ts:476:0   'defaultLogHealthCheck'
export packages/lsp-client/src/utils/logger.ts:481:0   'defaultExportSession'
export packages/lsp-client/src/utils/logger.ts:483:0   'defaultExportSessionText'
export packages/lsp-client/src/utils/logger.ts:485:0   'defaultSetLogLevel'
export packages/lsp-client/src/utils/logger.ts:487:0   'defaultClearSessions'
export packages/lsp-client/src/utils/typescript-helpers.ts:9:0     'TypescriptClientInstance'
file   packages/types/src/shared/schemas.ts
file   packages/types/src/shared/types.ts
export packages/types/src/shared/utils.ts:2:0     'DeepPartial'
export packages/types/src/shared/utils.ts:6:0     'DeepRequired'
export packages/types/src/shared/utils.ts:10:0    'Nullable'
export packages/types/src/shared/utils.ts:11:0    'Optional'
export packages/types/src/shared/utils.ts:12:0    'Maybe'
export packages/types/src/shared/utils.ts:14:0    'ValueOf'
export packages/types/src/shared/utils.ts:16:0    'Awaitable'
export packages/types/src/shared/utils.ts:18:0    'Constructor'
export packages/types/src/shared/utils.ts:20:0    'Mutable'
export packages/types/src/shared/utils.ts:24:0    'ReadonlyDeep'
export packages/types/src/shared/utils.ts:66:0    'assertNever'
export packages/types/src/validators/indexer.ts:38:0    'SymbolKindValue'
export src/config/loader.ts:115:0   'LoadOptions'
export src/config/loader.ts:130:0   'LoadResult'
export src/presets/utils.ts:8:0     'adapterToLanguageConfig'
export src/tools/lsp/allDiagnostics.ts:156:0   'getAllDiagnosticsWithLSP'
export src/tools/lsp/allDiagnostics.ts:378:0   'lspGetAllDiagnosticsTool'
export src/tools/lsp/checkCapabilities.ts:157:0   'lspCheckCapabilitiesTool'
export src/tools/lsp/codeActions.ts:220:0   'lspGetCodeActionsTool'
export src/tools/lsp/completion.ts:216:0   'lspGetCompletionTool'
export src/tools/lsp/formatting.ts:187:0   'lspFormatDocumentTool'
export src/tools/lsp/signatureHelp.ts:189:0   'lspGetSignatureHelpTool'
export src/tools/lsp/workspaceSymbols.ts:179:0   'lspGetWorkspaceSymbolsTool'
export packages/code-indexer/src/providers/externalLibraryProvider.ts:24:0    'LibraryInfo'
export packages/lsp-client/src/core/client.ts:37:0    'InternalLSPClient'
export packages/lsp-client/src/utils/container-helpers.ts:7:0     'debug'
export packages/lsp-client/src/utils/container-helpers.ts:11:0    'debugLog'
export packages/lsp-client/src/utils/container-helpers.ts:23:0    'getLanguageIdFromPath'
export packages/lsp-client/src/utils/container-helpers.ts:36:0    'getServerCharacteristics'
export packages/types/src/lsp/protocol.ts:28:0    'isLSPResponse'
export packages/types/src/lsp/protocol.ts:37:0    'isLSPNotification'
export src/config/schema.ts:7:0     'serverCharacteristicsSchema'
export src/config/schema.ts:61:0    'ServerCharacteristics'
export src/config/schema.ts:64:0    'serverCapabilitiesSchema'
export src/config/schema.ts:81:0    'ServerCapabilities'
export src/config/schema.ts:84:0    'binFindStrategyItemSchema'
export src/config/schema.ts:133:0   'binFindStrategySchema'
export src/config/schema.ts:149:0   'lspClientConfigBaseSchema'
export src/config/schema.ts:202:0   'lspClientConfigSchema'
export src/config/schema.ts:207:0   'presetSchema'
export src/config/schema.ts:230:0   'configSchema'
export src/config/schema.ts:387:0   'DEFAULT_SYMBOL_FILTER'
export src/config/schema.ts:404:0   'DEFAULT_CONFIG'
export src/config/schema.ts:430:0   'createConfigFromPreset'
export src/features/memory/memoryManager.ts:4:0     'SerenityMemory'
export src/features/memory/onboarding/onboardingPrompts.ts:4:0     'OnboardingParams'
export src/tools/finder/indexToolsUnified.ts:305:0   'unifiedIndexTools'
export packages/code-indexer/src/engine/contentHash.ts:10:0    'getFileContentHash'
export packages/code-indexer/src/engine/contentHash.ts:29:0    'FileMetadata'
export packages/code-indexer/src/engine/contentHash.ts:39:0    'CacheEntry'
export packages/code-indexer/src/utils/gitUtils.ts:12:0    'GitError'
export packages/lsp-client/src/container.ts:21:0    'IDependencyContainer'
export packages/lsp-client/src/container.ts:122:0   'configureLSPClient'
export packages/lsp-client/src/container.ts:131:0   'resetLSPClientConfiguration'
export packages/lsp-client/src/interfaces.ts:60:0    'IDiagnosticResultBuilder'
export packages/lsp-client/src/managers/workspace.ts:35:0    'createApplyWorkspaceEditParams'
export packages/lsp-client/src/managers/workspace.ts:42:0    'handleApplyWorkspaceEditResponse'
export packages/lsp-client/src/utils/debug.ts:24:2    'getErrorMessage'
export packages/lsp-client/src/utils/debug.ts:26:14   'ErrorContext'
export packages/lsp-client/src/utils/debug.ts:28:0    'isErrorWithCode'
export packages/lsp-client/src/utils/features.ts:24:0    'FeatureCommands'
export src/utils/errorHandler.ts:109:0   'debugLog'
export packages/code-indexer/src/config/config.ts:6:0     'SymbolFilterConfig'
export packages/code-indexer/src/config/config.ts:32:0    'parseSymbolKinds'
export packages/lsp-client/src/commands/completion.ts:10:0    'AdvancedCompletionHandlerOptions'
export packages/lsp-client/src/utils/defaults.ts:31:0    'ConsoleLogger'
export packages/lsp-client/src/utils/helpers.ts:4:0     'ServerCharacteristics'
export packages/lsp-client/src/utils/helpers.ts:54:0    'isObject'
export packages/lsp-client/src/utils/lsp-logger.ts:10:0    'isLspDebugEnabled'
export packages/lsp-client/src/utils/lsp-logger.ts:53:0    'lspError'
export packages/lsp-client/src/utils/lsp-logger.ts:65:0    'lspWarn'
export packages/lsp-client/src/utils/lsp-logger.ts:78:0    'lspConditionalDebug'
export packages/lsp-client/src/utils/lsp-logger.ts:96:0    'lspPerformance'
export packages/lsp-client/src/utils/lsp-logger.ts:111:0   'lspData'
export packages/lsp-client/src/utils/lsp-logger.ts:118:9   'debugLog'
export packages/lsp-client/src/utils/lsp-logger.ts:119:9   'debug'
export packages/lsp-client/src/utils/textEdits.ts:37:0    'positionToOffset'
export packages/lsp-client/src/utils/textEdits.ts:52:0    'offsetToPosition'
export src/domain/errors/index.ts:372:0   'normalizeError'
export src/domain/errors/index.ts:416:0   'withErrorHandling'
export src/domain/errors/index.ts:430:0   'createErrorHandler'
export src/utils/debugLog.ts:68:0    'conditionalDebug'
export src/utils/debugLog.ts:73:9    'debug'
export packages/lsp-client/src/commands/types.ts:45:0    'LSPRequestSender'
export packages/lsp-client/src/commands/types.ts:126:0   'isLocationLink'
export packages/lsp-client/src/protocol/types/index.ts:19:2    'LSPClientConfig'
export packages/lsp-client/src/protocol/types/index.ts:20:2    'LSPClientState'
export packages/lsp-client/src/protocol/types/index.ts:21:2    'HoverContents'
export packages/lsp-client/src/protocol/types/base.ts:51:2    'CompletionList'
export packages/lsp-client/src/protocol/types/base.ts:57:2    'integer'
export packages/lsp-client/src/protocol/types/base.ts:60:2    'MarkedString'
export packages/lsp-client/src/protocol/types/base.ts:70:14   'Definition'
export packages/lsp-client/src/protocol/types/notifications.ts:13:0    'ShowMessageParams'
export packages/lsp-client/src/protocol/types/notifications.ts:18:0    'MessageType'
export packages/lsp-client/src/protocol/types/notifications.ts:25:0    'LogMessageParams'
export packages/lsp-client/src/protocol/types/notifications.ts:31:0    'ProgressParams'
export packages/lsp-client/src/protocol/types/notifications.ts:36:0    'WorkDoneProgressBegin'
export packages/lsp-client/src/protocol/types/notifications.ts:44:0    'WorkDoneProgressReport'
export packages/lsp-client/src/protocol/types/notifications.ts:51:0    'WorkDoneProgressEnd'
export packages/lsp-client/src/protocol/types/notifications.ts:56:0    'WorkDoneProgress'
export packages/lsp-client/src/protocol/types/notifications.ts:62:0    'isPublishDiagnosticsParams'
export packages/lsp-client/src/protocol/types/requests.ts:23:0    'TextDocumentItem'
export packages/lsp-client/src/protocol/types/requests.ts:36:0    'ReferenceContext'
export packages/lsp-client/src/protocol/types/requests.ts:40:0    'ReferenceParams'
export packages/lsp-client/src/protocol/types/requests.ts:45:0    'WorkspaceFolder'
export packages/lsp-client/src/protocol/types/requests.ts:50:0    'ClientCapabilities'
export packages/lsp-client/src/protocol/types/requests.ts:102:0   'TextDocumentContentChangeEvent'
export packages/lsp-client/src/protocol/types/requests.ts:116:0   'CodeActionContext'
export packages/lsp-client/src/protocol/types/requests.ts:121:0   'CodeActionParams'
export packages/lsp-client/src/protocol/types/requests.ts:128:0   'DocumentFormattingParams'
export packages/lsp-client/src/protocol/types/requests.ts:133:0   'DocumentRangeFormattingParams'
export packages/lsp-client/src/protocol/types/requests.ts:140:0   'RenameParams'
export packages/lsp-client/src/protocol/types/responses.ts:105:0   'HoverResult'
export packages/lsp-client/src/protocol/types/responses.ts:106:0   'DefinitionResult'
export packages/lsp-client/src/protocol/types/responses.ts:107:0   'ReferencesResult'
export packages/lsp-client/src/protocol/types/responses.ts:108:0   'DocumentSymbolResult'
export packages/lsp-client/src/protocol/types/responses.ts:112:0   'WorkspaceSymbolResult'
export packages/lsp-client/src/protocol/types/responses.ts:113:0   'CompletionResult'
export packages/lsp-client/src/protocol/types/responses.ts:114:0   'SignatureHelpResult'
export packages/lsp-client/src/protocol/types/responses.ts:115:0   'CodeActionResult'
export packages/lsp-client/src/protocol/types/responses.ts:116:0   'FormattingResult'
export packages/lsp-client/src/protocol/types/responses.ts:117:0   'RenameResult'
export packages/lsp-client/src/protocol/types/responses.ts:120:0   'isLocationLink'
export packages/lsp-client/src/protocol/types/responses.ts:124:0   'isLocationLinkArray'
export packages/lsp-client/src/protocol/types/responses.ts:128:0   'isCompletionList'
export packages/lsp-client/src/protocol/types/responses.ts:134:0   'locationLinkToLocation'
export packages/lsp-client/src/utils/filesystem.ts:87:0    'stat'
file   src/config/loader.test.ts
file   src/constants/performance.ts
file   src/features/memory/memoryManager.test.ts
file   src/features/memory/database/memoryDatabase.test.ts
export src/features/memory/database/schema.ts:74:0    'ComponentAnalysis'
export src/features/memory/database/schema.ts:82:0    'CodeQualityMetrics'
file   src/features/memory/onboarding/onboardingTools.test.ts
file   src/features/ts/tools/tsCallHierarchy.ts
file   src/features/ts/tools/tsExtractType.ts
file   src/features/ts/tools/tsGenerateAccessors.ts
export src/features/ts/utils/validation.ts:54:0    'validateLine'
file   src/presets/tsgo.test.ts
file   src/tools/index.test.ts
file   src/tools/editor/regexEditTools.test.ts
file   src/tools/editor/symbolEditTools.test.ts
file   src/tools/finder/indexTools.test.ts
file   src/tools/finder/projectOverview.test.ts
file   src/tools/finder/symbolTools.realfiles.test.ts
file   src/tools/finder/symbolTools.simple.test.ts
file   src/tools/memory/advancedMemoryTools.ts
file   src/tools/memory/memoryTools.test.ts
file   tests/setup.ts
file   tests/helpers/testUtils.ts
file   tests/integration/fixtures/lsp-rename/class.expected.ts
file   tests/integration/fixtures/lsp-rename/class.input.ts
file   tests/integration/fixtures/lsp-rename/cross-file-export.expected.ts
file   tests/integration/fixtures/lsp-rename/cross-file-import.input.ts
file   tests/integration/fixtures/lsp-rename/function.expected.ts
file   tests/integration/fixtures/lsp-rename/function.input.ts
file   tests/integration/fixtures/lsp-rename/simple-class.input.ts
file   tests/integration/fixtures/lsp-rename/simple-function.input.ts
file   tests/integration/fixtures/lsp-rename/simple-variable.expected.ts
file   tests/integration/fixtures/lsp-rename/simple-variable.input.ts
file   tests/integration/fixtures/lsp-rename/type-alias.expected.ts
file   tests/integration/fixtures/lsp-rename/type-alias.input.ts
file   packages/code-indexer/src/symbolIndex.test.ts
file   packages/code-indexer/src/engine/symbolKindTypes.ts
export packages/code-indexer/src/providers/externalLibraryInterface.ts:151:0   'ExternalLibraryProviderFactory'
file   packages/code-indexer/src/providers/externalLibraryProvider.test.ts
export packages/code-indexer/src/providers/goExternalLibraryProvider.ts:143:0   'getGoModCachePath'
export packages/code-indexer/src/providers/goExternalLibraryProvider.ts:355:0   'exampleGoPackageIndexing'
export packages/code-indexer/src/providers/goExternalLibraryProvider.ts:421:0   'getAllGoModules'
file   packages/code-indexer/src/providers/multiLanguageProvider.test.ts
file   packages/code-indexer/src/providers/neverthrowIntegration.test.ts
export packages/code-indexer/src/providers/rustExternalLibraryProvider.ts:113:0   'findCrateSource'
export packages/code-indexer/src/providers/rustExternalLibraryProvider.ts:136:0   'getRustCrateSymbols'
export packages/code-indexer/src/providers/rustExternalLibraryProvider.ts:248:0   'exampleSerdeSymbols'
file   packages/code-indexer/src/providers/symbolResolver.test.ts
file   packages/code-indexer/src/utils/gitUtilsAsync.test.ts
file   packages/lsp-client/src/commands/index.ts
file   packages/lsp-client/src/protocol/request-manager.ts
file   packages/lsp-client/src/utils/adapter-utils.ts
file   packages/lsp-client/src/utils/fsharp-position-fix.test.ts
export packages/lsp-client/src/utils/validator.ts:7:0     'LSPCapabilities'
export packages/lsp-client/src/utils/validator.ts:21:0    'FeatureTestResult'
export packages/lsp-client/src/utils/validator.ts:38:0    'LSPValidatorConfig'
file   packages/lsp-client/src/utils/workspace-edit.ts
✖ delete 46 files, remove 220 exports
